,name,id,popularity,followers,genres,type,,"insert into artist (nome, popularidade, seguidores) values"
1,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,93,738730,"latin,latin pop",artist,,"('Luis Fonsi',93,738730),"
2,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,91,1379860,"dwn trap,pop rap,rap,trap music",artist,,"('Lil Uzi Vert',91,1379860),"
3,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist,,"('DJ Khaled',94,1182136),"
4,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,96,4716052,"hip hop,rap,west coast rap",artist,,"('Kendrick Lamar',96,4716052),"
5,French Montana,6vXTefBL93Dj5IqAWq6OTv,90,752947,"dwn trap,pop rap,rap,trap music",artist,,"('French Montana',90,752947),"
6,Post Malone,246dkjvS1zLTtiykXe5h60,89,1046480,"dwn trap,pop rap,rap,trap music",artist,,"('Post Malone',89,1046480),"
7,Calvin Harris,7CajNmpbOovFoOoasH2HaY,94,6816704,"electro house,house,pop,progressive house",artist,,"('Calvin Harris',94,6816704),"
8,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,86,2036471,"pop rap,rap",artist,,"('Childish Gambino',86,2036471),"
9,Drake,3TVXtAsR1Inumwj472S9r4,100,11182617,"canadian pop,hip hop,pop rap,rap",artist,,"('Drake',100,11182617),"
10,Khalid,6LuN9FCkKOj5PcnpouEgny,91,483687,,artist,,"('Khalid',91,483687),"
11,Future,1RyvyyTE3xzB2ZywiAwp0i,96,3306922,"pop rap,rap,southern hip hop,trap music",artist,,"('Future',96,3306922),"
12,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,95,4791659,"modern rock,pop,vegas indie",artist,,"('Imagine Dragons',95,4791659),"
13,Playboi Carti,699OTQXzgjhIYAHMy9RyPD,85,252183,"dwn trap,hip hop,pop rap,rap,southern hip hop,trap music",artist,,"('Playboi Carti',85,252183),"
14,Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,83,646057,contemporary country,artist,,"('Sam Hunt',83,646057),"
15,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,91,9101482,"dance pop,edm,pop,tropical house",artist,,"('David Guetta',91,9101482),"
16,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,92,7083691,"dance pop,pop",artist,,"('Bruno Mars',92,7083691),"
17,Logic,4xRYI6VqpkE3UwrDrAZL8L,88,1259001,"pop rap,rap",artist,,"('Logic',88,1259001),"
18,Zedd,2qxJFvFYMEDqd7ui6kSAcq,88,1468619,"complextro,dance pop,edm,german techno,pop,tropical house",artist,,"('Zedd',88,1468619),"
19,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,94,1241304,"dwn trap,pop rap,rap,trap music",artist,,"('Travis Scott',94,1241304),"
20,Liam Payne,5pUo3fmmHT8bhCyHE52hA6,87,377376,,artist,,"('Liam Payne',87,377376),"
21,Migos,6oMuImdp5ZcFhWP0ESe6mG,92,1419635,"dwn trap,pop rap,rap,trap music",artist,,"('Migos',92,1419635),"
22,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,90,1523707,"dance pop,pop,post-teen pop,viral pop",artist,,"('Charlie Puth',90,1523707),"
23,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,98,10407263,pop,artist,,"('Ed Sheeran',98,10407263),"
24,Halsey,26VFTg2z8YR0cCuwLzESi2,90,1813794,"dance pop,etherpop,indie poptimism,pop,tropical house",artist,,"('Halsey',90,1813794),"
25,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,83,434586,"dwn trap,rap,southern hip hop,trap music",artist,,"('A Boogie Wit da Hoodie',83,434586),"
26,2 Chainz,17lzZA2AlOHwCwFALHttmp,91,1435305,"dwn trap,pop rap,rap,southern hip hop,trap music",artist,,"('2 Chainz',91,1435305),"
27,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,92,4930214,"dance pop,pop,post-teen pop",artist,,"('Selena Gomez',92,4930214),"
28,Kyle,4qBgvVog0wzW75IQ48mU7v,81,292377,"dwn trap,pop rap,rap",artist,,"('Kyle',81,292377),"
29,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,83,612491,"pop,post-teen pop",artist,,"('Niall Horan',83,612491),"
30,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,91,3831562,"canadian pop,pop,viral pop",artist,,"('Shawn Mendes',91,3831562),"
31,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,82,139776,"rap,southern hip hop,trap music",artist,,"('Metro Boomin',82,139776),"
32,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,88,1040540,"dwn trap,rap,trap music",artist,,"('Kodak Black',88,1040540),"
33,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,89,2853001,"big room,edm,progressive house,tropical house",artist,,"('Martin Garrix',89,2853001),"
34,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,93,3112713,"pop,tropical house",artist,,"('The Chainsmokers',93,3112713),"
35,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,84,1119956,"hip hop,indie r&b,pop rap,rap,southern hip hop,trap music,underground hip hop",artist,,"('Tyler, The Creator',84,1119956),"
36,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m,82,95485,"pop,post-teen pop",artist,,"('Julia Michaels',82,95485),"
37,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,86,3226303,"dance pop,pop,pop christmas,post-teen pop",artist,,"('Miley Cyrus',86,3226303),"
38,Big Sean,0c173mlxpT3dSFRgMO8XPh,92,2309362,"detroit hip hop,pop rap,rap,trap music",artist,,"('Big Sean',92,2309362),"
39,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,89,469283,pop,artist,,"('Camila Cabello',89,469283),"
40,Kygo,23fqKkggKUBHNkbKtXEls4,90,1739730,"edm,minimal dub,pop,tropical house",artist,,"('Kygo',90,1739730),"
