,genre,artist,"insert into artista_genero (genero_id, artista_id) values "
1,latin,Luis Fonsi,"((select id from genero where nome like 'latin'), (select id from artista where nome like 'Luis Fonsi')),"
2,latin pop,Luis Fonsi,"((select id from genero where nome like 'latin pop'), (select id from artista where nome like 'Luis Fonsi')),"
3,dwn trap,Lil Uzi Vert,"((select id from genero where nome like 'dwn trap'), (select id from artista where nome like 'Lil Uzi Vert')),"
4,pop rap,Lil Uzi Vert,"((select id from genero where nome like 'pop rap'), (select id from artista where nome like 'Lil Uzi Vert')),"
5,rap,Lil Uzi Vert,"((select id from genero where nome like 'rap'), (select id from artista where nome like 'Lil Uzi Vert')),"
6,trap music,Lil Uzi Vert,"((select id from genero where nome like 'trap music'), (select id from artista where nome like 'Lil Uzi Vert')),"
7,pop rap,DJ Khaled,"((select id from genero where nome like 'pop rap'), (select id from artista where nome like 'DJ Khaled')),"
8,rap,DJ Khaled,"((select id from genero where nome like 'rap'), (select id from artista where nome like 'DJ Khaled')),"
9,trap music,DJ Khaled,"((select id from genero where nome like 'trap music'), (select id from artista where nome like 'DJ Khaled')),"
10,hip hop,Kendrick Lamar,"((select id from genero where nome like 'hip hop'), (select id from artista where nome like 'Kendrick Lamar')),"
11,rap,Kendrick Lamar,"((select id from genero where nome like 'rap'), (select id from artista where nome like 'Kendrick Lamar')),"
12,west coast rap,Kendrick Lamar,"((select id from genero where nome like 'west coast rap'), (select id from artista where nome like 'Kendrick Lamar')),"
13,dwn trap,French Montana,"((select id from genero where nome like 'dwn trap'), (select id from artista where nome like 'French Montana')),"
14,pop rap,French Montana,"((select id from genero where nome like 'pop rap'), (select id from artista where nome like 'French Montana')),"
15,rap,French Montana,"((select id from genero where nome like 'rap'), (select id from artista where nome like 'French Montana')),"
16,trap music,French Montana,"((select id from genero where nome like 'trap music'), (select id from artista where nome like 'French Montana')),"
17,dwn trap,Post Malone,"((select id from genero where nome like 'dwn trap'), (select id from artista where nome like 'Post Malone')),"
18,pop rap,Post Malone,"((select id from genero where nome like 'pop rap'), (select id from artista where nome like 'Post Malone')),"
19,rap,Post Malone,"((select id from genero where nome like 'rap'), (select id from artista where nome like 'Post Malone')),"
20,trap music,Post Malone,"((select id from genero where nome like 'trap music'), (select id from artista where nome like 'Post Malone')),"
21,electro house,Calvin Harris,"((select id from genero where nome like 'electro house'), (select id from artista where nome like 'Calvin Harris')),"
22,house,Calvin Harris,"((select id from genero where nome like 'house'), (select id from artista where nome like 'Calvin Harris')),"
23,pop,Calvin Harris,"((select id from genero where nome like 'pop'), (select id from artista where nome like 'Calvin Harris')),"
24,progressive house,Calvin Harris,"((select id from genero where nome like 'progressive house'), (select id from artista where nome like 'Calvin Harris')),"
25,pop rap,Childish Gambino,"((select id from genero where nome like 'pop rap'), (select id from artista where nome like 'Childish Gambino')),"
26,rap,Childish Gambino,"((select id from genero where nome like 'rap'), (select id from artista where nome like 'Childish Gambino')),"
27,canadian pop,Drake,"((select id from genero where nome like 'canadian pop'), (select id from artista where nome like 'Drake')),"
28,hip hop,Drake,"((select id from genero where nome like 'hip hop'), (select id from artista where nome like 'Drake')),"
29,pop rap,Drake,"((select id from genero where nome like 'pop rap'), (select id from artista where nome like 'Drake')),"
30,rap,Drake,"((select id from genero where nome like 'rap'), (select id from artista where nome like 'Drake')),"
31,NA,Khalid,"((select id from genero where nome like 'NA'), (select id from artista where nome like 'Khalid')),"
32,pop rap,Future,"((select id from genero where nome like 'pop rap'), (select id from artista where nome like 'Future')),"
33,rap,Future,"((select id from genero where nome like 'rap'), (select id from artista where nome like 'Future')),"
34,southern hip hop,Future,"((select id from genero where nome like 'southern hip hop'), (select id from artista where nome like 'Future')),"
35,trap music,Future,"((select id from genero where nome like 'trap music'), (select id from artista where nome like 'Future')),"
36,modern rock,Imagine Dragons,"((select id from genero where nome like 'modern rock'), (select id from artista where nome like 'Imagine Dragons')),"
37,pop,Imagine Dragons,"((select id from genero where nome like 'pop'), (select id from artista where nome like 'Imagine Dragons')),"
38,vegas indie,Imagine Dragons,"((select id from genero where nome like 'vegas indie'), (select id from artista where nome like 'Imagine Dragons')),"
39,dwn trap,Playboi Carti,"((select id from genero where nome like 'dwn trap'), (select id from artista where nome like 'Playboi Carti')),"
40,hip hop,Playboi Carti,"((select id from genero where nome like 'hip hop'), (select id from artista where nome like 'Playboi Carti')),"
41,pop rap,Playboi Carti,"((select id from genero where nome like 'pop rap'), (select id from artista where nome like 'Playboi Carti')),"
42,rap,Playboi Carti,"((select id from genero where nome like 'rap'), (select id from artista where nome like 'Playboi Carti')),"
43,southern hip hop,Playboi Carti,"((select id from genero where nome like 'southern hip hop'), (select id from artista where nome like 'Playboi Carti')),"
44,trap music,Playboi Carti,"((select id from genero where nome like 'trap music'), (select id from artista where nome like 'Playboi Carti')),"
45,contemporary country,Sam Hunt,"((select id from genero where nome like 'contemporary country'), (select id from artista where nome like 'Sam Hunt')),"
46,dance pop,David Guetta,"((select id from genero where nome like 'dance pop'), (select id from artista where nome like 'David Guetta')),"
47,edm,David Guetta,"((select id from genero where nome like 'edm'), (select id from artista where nome like 'David Guetta')),"
48,pop,David Guetta,"((select id from genero where nome like 'pop'), (select id from artista where nome like 'David Guetta')),"
49,tropical house,David Guetta,"((select id from genero where nome like 'tropical house'), (select id from artista where nome like 'David Guetta')),"
50,dance pop,Bruno Mars,"((select id from genero where nome like 'dance pop'), (select id from artista where nome like 'Bruno Mars')),"
51,pop,Bruno Mars,"((select id from genero where nome like 'pop'), (select id from artista where nome like 'Bruno Mars')),"
52,pop rap,Logic,"((select id from genero where nome like 'pop rap'), (select id from artista where nome like 'Logic')),"
53,rap,Logic,"((select id from genero where nome like 'rap'), (select id from artista where nome like 'Logic')),"
54,complextro,Zedd,"((select id from genero where nome like 'complextro'), (select id from artista where nome like 'Zedd')),"
55,dance pop,Zedd,"((select id from genero where nome like 'dance pop'), (select id from artista where nome like 'Zedd')),"
56,edm,Zedd,"((select id from genero where nome like 'edm'), (select id from artista where nome like 'Zedd')),"
57,german techno,Zedd,"((select id from genero where nome like 'german techno'), (select id from artista where nome like 'Zedd')),"
58,pop,Zedd,"((select id from genero where nome like 'pop'), (select id from artista where nome like 'Zedd')),"
59,tropical house,Zedd,"((select id from genero where nome like 'tropical house'), (select id from artista where nome like 'Zedd')),"
60,dwn trap,Travis Scott,"((select id from genero where nome like 'dwn trap'), (select id from artista where nome like 'Travis Scott')),"
