mk,position,track,streams,url,id,popularity,followers,genres,type
br,41,Deixe Me Ir - Acústico,144732,https://open.spotify.com/track/2srL4DYBekshpbprS6H0mO,6E2st8OqIaS7PU5gj95FSE,70,77903,deep funk carioca,artist
us,108,X (feat. Future),236421,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO,1URnnhqYAYcrqrcwql10ft,88,1136786,"dwn trap,pop rap,rap,trap music",artist
us,169,No Heart,179652,https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO,1URnnhqYAYcrqrcwql10ft,88,1136786,"dwn trap,pop rap,rap,trap music",artist
ca,113,X (feat. Future),25926,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO,1URnnhqYAYcrqrcwql10ft,88,1136786,"dwn trap,pop rap,rap,trap music",artist
de,195,Holz,33540,https://open.spotify.com/track/7eINNUMHd6YAPldsUlCz9q,6ihLfpY3cmdGyWEnItn30w,65,230614,"deep german hip hop,german hip hop",artist
de,170,Holland,36300,https://open.spotify.com/track/6SpE8A5auqnlmVcMQ4ekYK,6ihLfpY3cmdGyWEnItn30w,65,230614,"deep german hip hop,german hip hop",artist
ch,186,4 AM,2846,https://open.spotify.com/track/1nX9KhK3Fff27SnrIor2Yb,17lzZA2AlOHwCwFALHttmp,91,1435305,"dwn trap,pop rap,rap,southern hip hop,trap music",artist
us,42,It's A Vibe,441763,https://open.spotify.com/track/6H0AwSQ20mo62jGlPGB8S6,17lzZA2AlOHwCwFALHttmp,91,1435305,"dwn trap,pop rap,rap,southern hip hop,trap music",artist
us,34,4 AM,553507,https://open.spotify.com/track/1nX9KhK3Fff27SnrIor2Yb,17lzZA2AlOHwCwFALHttmp,91,1435305,"dwn trap,pop rap,rap,southern hip hop,trap music",artist
ca,60,4 AM,43323,https://open.spotify.com/track/1nX9KhK3Fff27SnrIor2Yb,17lzZA2AlOHwCwFALHttmp,91,1435305,"dwn trap,pop rap,rap,southern hip hop,trap music",artist
nz,89,It's A Vibe,6866,https://open.spotify.com/track/6H0AwSQ20mo62jGlPGB8S6,17lzZA2AlOHwCwFALHttmp,91,1435305,"dwn trap,pop rap,rap,southern hip hop,trap music",artist
ca,66,It's A Vibe,40267,https://open.spotify.com/track/6H0AwSQ20mo62jGlPGB8S6,17lzZA2AlOHwCwFALHttmp,91,1435305,"dwn trap,pop rap,rap,southern hip hop,trap music",artist
us,121,Good Drank,216344,https://open.spotify.com/track/39pS70eeDvyCAF3t8NAlVV,17lzZA2AlOHwCwFALHttmp,91,1435305,"dwn trap,pop rap,rap,southern hip hop,trap music",artist
gb,83,Up In Here,70266,https://open.spotify.com/track/1xX9Po48ORssfN8MXeBLj9,3x9IfYx4a2FPsxqrTV5FgP,58,7843,,artist
ie,103,Up In Here,4658,https://open.spotify.com/track/1xX9Po48ORssfN8MXeBLj9,3x9IfYx4a2FPsxqrTV5FgP,58,7843,,artist
ph,93,Prinsesa,29598,https://open.spotify.com/track/2S80c51YXgJQhkhX603fMA,3nZa8vRD64ueq3d0JNYTsl,58,32274,"neo mellow,opm,pinoy alternative,pop rock",artist
us,123,PRBLMS,215657,https://open.spotify.com/track/2wf9bp4MkChojtljddWpbO,4IVAbR2w4JJNJDDRFP3E83,79,285174,"dwn trap,hip hop,indie r&b,pop rap,rap,southern hip hop,trap music",artist
pt,145,Filho da Guida,2265,https://open.spotify.com/track/75AvbbGV21JDfukB6BTGBi,4yqP75Gm0jSMIS1gQ7s6lX,36,1212,,artist
jp,168,??????,2169,https://open.spotify.com/track/3glfyV9FhK872pJcAtOjeI,1AyWsgtaIgXbzjJlTx2ZDp,58,37944,"anime,j-idol,j-pop,japanese r&b",artist
jp,83,???????,3467,https://open.spotify.com/track/7vwXjDrZT2mqiFynlEwwgG,1AyWsgtaIgXbzjJlTx2ZDp,58,37944,"anime,j-idol,j-pop,japanese r&b",artist
jp,82,No Way Back,3481,https://open.spotify.com/track/0KMw8ZsfzGtWn7WEwgvMmo,1AyWsgtaIgXbzjJlTx2ZDp,58,37944,"anime,j-idol,j-pop,japanese r&b",artist
jp,130,MAGIC,2748,https://open.spotify.com/track/0K4Wg6Pwx0cOuJkN8xvuto,1AyWsgtaIgXbzjJlTx2ZDp,58,37944,"anime,j-idol,j-pop,japanese r&b",artist
jp,72,?????,3845,https://open.spotify.com/track/46gSY0U7ZZCmd7EuJuo15N,1AyWsgtaIgXbzjJlTx2ZDp,58,37944,"anime,j-idol,j-pop,japanese r&b",artist
ar,83,Oncemil,23741,https://open.spotify.com/track/3y5ahYM9zwyOCt3mieZ0PZ,6HTUcOExehqydqa7C3usAa,72,271844,"argentine rock,cumbia pop,folklore argentino,rock en espanol",artist
ar,169,Como Te Extraño,15077,https://open.spotify.com/track/2PlyHAHOb0kJrbfI1MFCYC,6HTUcOExehqydqa7C3usAa,72,271844,"argentine rock,cumbia pop,folklore argentino,rock en espanol",artist
ar,192,Tanto Amor,13653,https://open.spotify.com/track/12dlQ3DhTydNecGP6atzIu,6HTUcOExehqydqa7C3usAa,72,271844,"argentine rock,cumbia pop,folklore argentino,rock en espanol",artist
ar,95,Sin Principio Ni Final,22340,https://open.spotify.com/track/6ihwy1c6tsMC6AWANIrhH2,6HTUcOExehqydqa7C3usAa,72,271844,"argentine rock,cumbia pop,folklore argentino,rock en espanol",artist
ca,55,Drowning (feat. Kodak Black),47610,https://open.spotify.com/track/6Q2FftbUG530lCtBI74bMH,31W5EY0aAly4Qieq6OFu6I,83,434586,"dwn trap,rap,southern hip hop,trap music",artist
us,33,Drowning (feat. Kodak Black),575164,https://open.spotify.com/track/6Q2FftbUG530lCtBI74bMH,31W5EY0aAly4Qieq6OFu6I,83,434586,"dwn trap,rap,southern hip hop,trap music",artist
us,186,My Shit,168007,https://open.spotify.com/track/5uQOauh47VFt3B2kV9kRXw,31W5EY0aAly4Qieq6OFu6I,83,434586,"dwn trap,rap,southern hip hop,trap music",artist
pe,117,Loco Enamorado,8093,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",artist
es,71,Loco Enamorado,40628,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",artist
ar,132,Loco Enamorado,17182,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",artist
uy,100,Loco Enamorado,1687,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",artist
bo,94,Loco Enamorado,1079,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",artist
py,119,Loco Enamorado,1218,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",artist
cl,81,Loco Enamorado,19824,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",artist
gt,119,Loco Enamorado,1375,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",artist
mx,177,Loco Enamorado,39798,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",artist
ec,98,Loco Enamorado,2840,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",artist
co,196,Loco Enamorado,4017,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",artist
pa,119,Loco Enamorado,1276,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",artist
cz,148,Highway to Hell,1304,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,711MCceyCBcFnzjGY4Q7Un,83,3406855,"album rock,classic rock,hard rock,heavy christmas,rock",artist
it,142,Ulalala,18965,https://open.spotify.com/track/2NTxalkIR7Yz1nl5iIFWAz,0lI3rF4hi4op6UxqlLHPzv,58,37068,"denver indie,italian hip hop",artist
id,196,Haruskah Kumati,4546,https://open.spotify.com/track/3RzgETsKqBs5McfQTdNp2Q,2owBL6a90fnWufVtP70K8f,55,11485,"dangdut,indonesian indie,indonesian pop,world worship",artist
id,108,Manusia Bodoh,6708,https://open.spotify.com/track/408TyH9YoTkH9J0Da9Ue8C,2owBL6a90fnWufVtP70K8f,55,11485,"dangdut,indonesian indie,indonesian pop,world worship",artist
tr,181,Rüyalarda Buru?mu?um,5385,https://open.spotify.com/track/4cQSOn9oP0MiM7BgiRngFk,1g4J8P1JWwanNyyXckRX5W,56,49569,"turkish jazz,turkish rock",artist
nz,165,Send My Love (To Your New Lover),4457,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",artist
