,track,url,"insert into musicas (nome, url) values"
1,Deixe Me Ir - Acústico,https://open.spotify.com/track/2srL4DYBekshpbprS6H0mO,"('Deixe Me Ir - Acústico','https://open.spotify.com/track/2srL4DYBekshpbprS6H0mO'),"
2,X (feat. Future),https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO,"('X (feat. Future)','https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO'),"
3,No Heart,https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO,"('No Heart','https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO'),"
5,Holz,https://open.spotify.com/track/7eINNUMHd6YAPldsUlCz9q,"('Holz','https://open.spotify.com/track/7eINNUMHd6YAPldsUlCz9q'),"
6,Holland,https://open.spotify.com/track/6SpE8A5auqnlmVcMQ4ekYK,"('Holland','https://open.spotify.com/track/6SpE8A5auqnlmVcMQ4ekYK'),"
7,4 AM,https://open.spotify.com/track/1nX9KhK3Fff27SnrIor2Yb,"('4 AM','https://open.spotify.com/track/1nX9KhK3Fff27SnrIor2Yb'),"
8,Its A Vibe,https://open.spotify.com/track/6H0AwSQ20mo62jGlPGB8S6,"('Its A Vibe','https://open.spotify.com/track/6H0AwSQ20mo62jGlPGB8S6'),"
13,Good Drank,https://open.spotify.com/track/39pS70eeDvyCAF3t8NAlVV,"('Good Drank','https://open.spotify.com/track/39pS70eeDvyCAF3t8NAlVV'),"
14,Up In Here,https://open.spotify.com/track/1xX9Po48ORssfN8MXeBLj9,"('Up In Here','https://open.spotify.com/track/1xX9Po48ORssfN8MXeBLj9'),"
16,Prinsesa,https://open.spotify.com/track/2S80c51YXgJQhkhX603fMA,"('Prinsesa','https://open.spotify.com/track/2S80c51YXgJQhkhX603fMA'),"
17,PRBLMS,https://open.spotify.com/track/2wf9bp4MkChojtljddWpbO,"('PRBLMS','https://open.spotify.com/track/2wf9bp4MkChojtljddWpbO'),"
18,Filho da Guida,https://open.spotify.com/track/75AvbbGV21JDfukB6BTGBi,"('Filho da Guida','https://open.spotify.com/track/75AvbbGV21JDfukB6BTGBi'),"
19,涙のない世界,https://open.spotify.com/track/3glfyV9FhK872pJcAtOjeI,"('涙のない世界','https://open.spotify.com/track/3glfyV9FhK872pJcAtOjeI'),"
20,さよならの前に,https://open.spotify.com/track/7vwXjDrZT2mqiFynlEwwgG,"('さよならの前に','https://open.spotify.com/track/7vwXjDrZT2mqiFynlEwwgG'),"
21,No Way Back,https://open.spotify.com/track/0KMw8ZsfzGtWn7WEwgvMmo,"('No Way Back','https://open.spotify.com/track/0KMw8ZsfzGtWn7WEwgvMmo'),"
22,MAGIC,https://open.spotify.com/track/0K4Wg6Pwx0cOuJkN8xvuto,"('MAGIC','https://open.spotify.com/track/0K4Wg6Pwx0cOuJkN8xvuto'),"
23,恋音と雨空,https://open.spotify.com/track/46gSY0U7ZZCmd7EuJuo15N,"('恋音と雨空','https://open.spotify.com/track/46gSY0U7ZZCmd7EuJuo15N'),"
24,Oncemil,https://open.spotify.com/track/3y5ahYM9zwyOCt3mieZ0PZ,"('Oncemil','https://open.spotify.com/track/3y5ahYM9zwyOCt3mieZ0PZ'),"
25,Como Te Extraño,https://open.spotify.com/track/2PlyHAHOb0kJrbfI1MFCYC,"('Como Te Extraño','https://open.spotify.com/track/2PlyHAHOb0kJrbfI1MFCYC'),"
26,Tanto Amor,https://open.spotify.com/track/12dlQ3DhTydNecGP6atzIu,"('Tanto Amor','https://open.spotify.com/track/12dlQ3DhTydNecGP6atzIu'),"
27,Sin Principio Ni Final,https://open.spotify.com/track/6ihwy1c6tsMC6AWANIrhH2,"('Sin Principio Ni Final','https://open.spotify.com/track/6ihwy1c6tsMC6AWANIrhH2'),"
28,Drowning (feat. Kodak Black),https://open.spotify.com/track/6Q2FftbUG530lCtBI74bMH,"('Drowning (feat. Kodak Black)','https://open.spotify.com/track/6Q2FftbUG530lCtBI74bMH'),"
30,My Shit,https://open.spotify.com/track/5uQOauh47VFt3B2kV9kRXw,"('My Shit','https://open.spotify.com/track/5uQOauh47VFt3B2kV9kRXw'),"
31,Loco Enamorado,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,"('Loco Enamorado','https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB'),"
43,Highway to Hell,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,"('Highway to Hell','https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s'),"
44,Ulalala,https://open.spotify.com/track/2NTxalkIR7Yz1nl5iIFWAz,"('Ulalala','https://open.spotify.com/track/2NTxalkIR7Yz1nl5iIFWAz'),"
45,Haruskah Kumati,https://open.spotify.com/track/3RzgETsKqBs5McfQTdNp2Q,"('Haruskah Kumati','https://open.spotify.com/track/3RzgETsKqBs5McfQTdNp2Q'),"
46,Manusia Bodoh,https://open.spotify.com/track/408TyH9YoTkH9J0Da9Ue8C,"('Manusia Bodoh','https://open.spotify.com/track/408TyH9YoTkH9J0Da9Ue8C'),"
47,Rüyalarda Buruşmuşum,https://open.spotify.com/track/4cQSOn9oP0MiM7BgiRngFk,"('Rüyalarda Buruşmuşum','https://open.spotify.com/track/4cQSOn9oP0MiM7BgiRngFk'),"
48,Send My Love (To Your New Lover),https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb,"('Send My Love (To Your New Lover)','https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb'),"
49,Hello,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw,"('Hello','https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw'),"
51,Water Under the Bridge,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y,"('Water Under the Bridge','https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y'),"
53,Make You Feel My Love,https://open.spotify.com/track/7rPLZ8Krm6CZIbraFUlnWZ,"('Make You Feel My Love','https://open.spotify.com/track/7rPLZ8Krm6CZIbraFUlnWZ'),"
54,When We Were Young,https://open.spotify.com/track/7IWkJwX9C0J7tHurTD7ViL,"('When We Were Young','https://open.spotify.com/track/7IWkJwX9C0J7tHurTD7ViL'),"
58,All I Ask,https://open.spotify.com/track/1wMALZpuqAy7amQsFBWQ8m,"('All I Ask','https://open.spotify.com/track/1wMALZpuqAy7amQsFBWQ8m'),"
64,Ist da jemand,https://open.spotify.com/track/1QzmdyU1N47jAj0ao5IvlW,"('Ist da jemand','https://open.spotify.com/track/1QzmdyU1N47jAj0ao5IvlW'),"
66,Bis hier und noch weiter,https://open.spotify.com/track/5y2qTBdWUFNgSPOygSWOMe,"('Bis hier und noch weiter','https://open.spotify.com/track/5y2qTBdWUFNgSPOygSWOMe'),"
68,Muara,https://open.spotify.com/track/4lCtZZktwgQqzCoJxK3ZxR,"('Muara','https://open.spotify.com/track/4lCtZZktwgQqzCoJxK3ZxR'),"
69,TRRR - Bonus Track,https://open.spotify.com/track/5xcekrEAJ5CVZPpjb3N36l,"('TRRR - Bonus Track','https://open.spotify.com/track/5xcekrEAJ5CVZPpjb3N36l'),"
70,Another Life,https://open.spotify.com/track/6tinFGP1QJuRbyeCekZcLZ,"('Another Life','https://open.spotify.com/track/6tinFGP1QJuRbyeCekZcLZ'),"
71,3AM,https://open.spotify.com/track/11G6oP44rmzIPtK70vWCuk,"('3AM','https://open.spotify.com/track/11G6oP44rmzIPtK70vWCuk'),"
72,獨一無二,https://open.spotify.com/track/1EiEkNCO1maB0Rl3XQ5f6A,"('獨一無二','https://open.spotify.com/track/1EiEkNCO1maB0Rl3XQ5f6A'),"
73,Ni Tu Amiga Ni Tu Amante,https://open.spotify.com/track/1xH5BjOt3hfrWsln1KnHnY,"('Ni Tu Amiga Ni Tu Amante','https://open.spotify.com/track/1xH5BjOt3hfrWsln1KnHnY'),"
74,Tu Boca,https://open.spotify.com/track/0OMURLwnKB6jkAUcxoS3Fc,"('Tu Boca','https://open.spotify.com/track/0OMURLwnKB6jkAUcxoS3Fc'),"
75,Düşman mısın Aşık mı?,https://open.spotify.com/track/2Vqc75AMoWCI1OhJmZpx8d,"('Düşman mısın Aşık mı?','https://open.spotify.com/track/2Vqc75AMoWCI1OhJmZpx8d'),"
76,Weak,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,"('Weak','https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv'),"
83,Jim Beam & Voddi,https://open.spotify.com/track/34eBseo3rsXhiIWEUcw4ys,"('Jim Beam & Voddi','https://open.spotify.com/track/34eBseo3rsXhiIWEUcw4ys'),"
84,Copacabana,https://open.spotify.com/track/0zZ2YoqtzhDn6GYlUd4WPI,"('Copacabana','https://open.spotify.com/track/0zZ2YoqtzhDn6GYlUd4WPI'),"
85,Faded,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,"('Faded','https://open.spotify.com/track/7gHs73wELdeycvS48JfIos'),"
86,Tired,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,"('Tired','https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a'),"
90,Alone,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,"('Alone','https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p'),"
108,Sing Me to Sleep,https://open.spotify.com/track/2Fjz5ZC5BvFdCqcnTZ3ilH,"('Sing Me to Sleep','https://open.spotify.com/track/2Fjz5ZC5BvFdCqcnTZ3ilH'),"
148,Ulla,https://open.spotify.com/track/4ZLkVrZ8sfgSDL0pqk5YkL,"('Ulla','https://open.spotify.com/track/4ZLkVrZ8sfgSDL0pqk5YkL'),"
149,Biar Aku Yang Pergi,https://open.spotify.com/track/3BPogo8LQS0IbKCdqvmHJH,"('Biar Aku Yang Pergi','https://open.spotify.com/track/3BPogo8LQS0IbKCdqvmHJH'),"
150,Sé Que Te Duele,https://open.spotify.com/track/5vZfgeDfNhlkKeJqjzSAmg,"('Sé Que Te Duele','https://open.spotify.com/track/5vZfgeDfNhlkKeJqjzSAmg'),"
154,Quiero Que Vuelvas,https://open.spotify.com/track/2Zw7rSucHm0MIph9gmNiSn,"('Quiero Que Vuelvas','https://open.spotify.com/track/2Zw7rSucHm0MIph9gmNiSn'),"
157,Me Dediqué a Perderte,https://open.spotify.com/track/4NUt1fcnO9aQAELBgXq3Kr,"('Me Dediqué a Perderte','https://open.spotify.com/track/4NUt1fcnO9aQAELBgXq3Kr'),"
161,Tienes Que Entender,https://open.spotify.com/track/7ee2FbCIkLtNyAXrnXZy5G,"('Tienes Que Entender','https://open.spotify.com/track/7ee2FbCIkLtNyAXrnXZy5G'),"
168,Deja Que Te Bese,https://open.spotify.com/track/0s6yB0ZFl1LvYHAnGhXFga,"('Deja Que Te Bese','https://open.spotify.com/track/0s6yB0ZFl1LvYHAnGhXFga'),"
170,15,https://open.spotify.com/track/6GZYVZiVritpchaBSFLprd,"('15','https://open.spotify.com/track/6GZYVZiVritpchaBSFLprd'),"
171,Filmi katkee,https://open.spotify.com/track/2G6x5MCndBRioc5CiMSDMx,"('Filmi katkee','https://open.spotify.com/track/2G6x5MCndBRioc5CiMSDMx'),"
172,"How Far Ill Go - From ""Moana""",https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,"('How Far Ill Go - From ""Moana""','https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN'),"
175,Scars To Your Beautiful,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK,"('Scars To Your Beautiful','https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK'),"
195,Láttu Í Friði,https://open.spotify.com/track/3fH99yfNoNuPaoZ1LNO57M,"('Láttu Í Friði','https://open.spotify.com/track/3fH99yfNoNuPaoZ1LNO57M'),"
196,Kilimanjaro,https://open.spotify.com/track/4UTA3zDiQJDgraWZlLBgpH,"('Kilimanjaro','https://open.spotify.com/track/4UTA3zDiQJDgraWZlLBgpH'),"
197,ワタリドリ,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o,"('ワタリドリ','https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o'),"
198,Voy a Brillar,https://open.spotify.com/track/37jHVkkXeTA1WD9Gpq3fcL,"('Voy a Brillar','https://open.spotify.com/track/37jHVkkXeTA1WD9Gpq3fcL'),"
199,Percocet,https://open.spotify.com/track/7H6OwsBoSI4BVWm5M7MTOQ,"('Percocet','https://open.spotify.com/track/7H6OwsBoSI4BVWm5M7MTOQ'),"
200,Dreams,https://open.spotify.com/track/4BdIxxdtdpxaPk3vXYL47G,"('Dreams','https://open.spotify.com/track/4BdIxxdtdpxaPk3vXYL47G'),"
201,Little Do You Know,https://open.spotify.com/track/1almCHdsfikRPfVB9VrEdT,"('Little Do You Know','https://open.spotify.com/track/1almCHdsfikRPfVB9VrEdT'),"
202,Horizon,https://open.spotify.com/track/1aUoWyycUxc1xIJQQ92mIp,"('Horizon','https://open.spotify.com/track/1aUoWyycUxc1xIJQQ92mIp'),"
203,El Paciente,https://open.spotify.com/track/2omJSQbSy5nFNVj1qAQ64M,"('El Paciente','https://open.spotify.com/track/2omJSQbSy5nFNVj1qAQ64M'),"
204,Von den fernen Bergen (feat. SXTN),https://open.spotify.com/track/4Omo1tlmDVINPwiliqjzZb,"('Von den fernen Bergen (feat. SXTN)','https://open.spotify.com/track/4Omo1tlmDVINPwiliqjzZb'),"
205,Sex ohne Grund,https://open.spotify.com/track/7cufww06qM0dH2rpkch4fi,"('Sex ohne Grund','https://open.spotify.com/track/7cufww06qM0dH2rpkch4fi'),"
206,No Roots,https://open.spotify.com/track/4bPWDXpN6MlTZBedxega3X,"('No Roots','https://open.spotify.com/track/4bPWDXpN6MlTZBedxega3X'),"
210,"幸福太短 (電視劇「奇妙的時光之旅」片尾曲) - Ending theme song of TV Drama ""Magical Space-Time""",https://open.spotify.com/track/4bUXlEJRyV5YGERzh7AHuy,"('幸福太短 (電視劇「奇妙的時光之旅」片尾曲) - Ending theme song of TV Drama ""Magical Space-Time""','https://open.spotify.com/track/4bUXlEJRyV5YGERzh7AHuy'),"
211,一直走,https://open.spotify.com/track/4ieTruevt8RaU0BLSKjEnj,"('一直走','https://open.spotify.com/track/4ieTruevt8RaU0BLSKjEnj'),"
212,Love Yuh Everything,https://open.spotify.com/track/1HXM2hwghFTsbOA54isSP2,"('Love Yuh Everything','https://open.spotify.com/track/1HXM2hwghFTsbOA54isSP2'),"
213,Bad Ideas,https://open.spotify.com/track/76gwG061wqdatYhicO2hG4,"('Bad Ideas','https://open.spotify.com/track/76gwG061wqdatYhicO2hG4'),"
214,Little Hollywood,https://open.spotify.com/track/1f3flfdU4VDM2OBDD2FMia,"('Little Hollywood','https://open.spotify.com/track/1f3flfdU4VDM2OBDD2FMia'),"
218,Chasing Highs,https://open.spotify.com/track/6fTsxhIosAU6zXTAhSaemI,"('Chasing Highs','https://open.spotify.com/track/6fTsxhIosAU6zXTAhSaemI'),"
222,Hear Me Now,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON,"('Hear Me Now','https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON'),"
228,Me & You (feat. IRO),https://open.spotify.com/track/2WTCoQLkQ9FPdvThkf8nN1,"('Me & You (feat. IRO)','https://open.spotify.com/track/2WTCoQLkQ9FPdvThkf8nN1'),"
229,Love Is A Temple,https://open.spotify.com/track/24putRJqkmdXxfKq5OI4TC,"('Love Is A Temple','https://open.spotify.com/track/24putRJqkmdXxfKq5OI4TC'),"
236,All I Want (feat. Stonefox) - Edit,https://open.spotify.com/track/5mWbOKfRxcS5iv32amTHPe,"('All I Want (feat. Stonefox) - Edit','https://open.spotify.com/track/5mWbOKfRxcS5iv32amTHPe'),"
237,Never Let Me Go,https://open.spotify.com/track/06ZpMjkNdIDKVf3mK29UiC,"('Never Let Me Go','https://open.spotify.com/track/06ZpMjkNdIDKVf3mK29UiC'),"
238,Fuego,https://open.spotify.com/track/61GiOLLEn0LcavpVu1my6Q,"('Fuego','https://open.spotify.com/track/61GiOLLEn0LcavpVu1my6Q'),"
240,Bagarre,https://open.spotify.com/track/5lvYLKGuBWNTpk505KUr1E,"('Bagarre','https://open.spotify.com/track/5lvYLKGuBWNTpk505KUr1E'),"
241,Feu dartifice,https://open.spotify.com/track/6D8tdYo3mBOIUrWAk8wOVo,"('Feu dartifice','https://open.spotify.com/track/6D8tdYo3mBOIUrWAk8wOVo'),"
242,Te Deseo Lo Mejor,https://open.spotify.com/track/7ETBp75Sc6ZT6XHVN783aq,"('Te Deseo Lo Mejor','https://open.spotify.com/track/7ETBp75Sc6ZT6XHVN783aq'),"
243,Culpable Tu,https://open.spotify.com/track/4eOUnn9bKgUVx6fsbFhuZO,"('Culpable Tu','https://open.spotify.com/track/4eOUnn9bKgUVx6fsbFhuZO'),"
244,Sofia,https://open.spotify.com/track/1VoHrSS3QQ6TbpabLrFiYb,"('Sofia','https://open.spotify.com/track/1VoHrSS3QQ6TbpabLrFiYb'),"
247,Blau,https://open.spotify.com/track/5amWhhuMPipfRYq3eLJNyF,"('Blau','https://open.spotify.com/track/5amWhhuMPipfRYq3eLJNyF'),"
249,Gunerius,https://open.spotify.com/track/33BWiM6OaybYEtYklVeC6T,"('Gunerius','https://open.spotify.com/track/33BWiM6OaybYEtYklVeC6T'),"
250,Scusate per il Disagio,https://open.spotify.com/track/5Sg8ZU4sLqsTOEd8PuGmvv,"('Scusate per il Disagio','https://open.spotify.com/track/5Sg8ZU4sLqsTOEd8PuGmvv'),"
