,artist,mk,position,track,streams,url,id,popularity,followers,genres,,,,,"insert into pais_musica(pais_id, musica_id, posicao, streams) values"
1,1Kilo,br,41,Deixe Me Ir - Acústico,144732,https://open.spotify.com/track/2srL4DYBekshpbprS6H0mO,6E2st8OqIaS7PU5gj95FSE,70,77903,deep funk carioca,,,,,"((select id from pais where sigla like 'br'), (select id from musica where nome like 'Deixe Me Ir - Acústico'), 41, 144732),"
2,21 Savage,us,108,X (feat. Future),236421,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO,1URnnhqYAYcrqrcwql10ft,88,1136786,"dwn trap,pop rap,rap,trap music",,,,,"((select id from pais where sigla like 'us'), (select id from musica where nome like 'X (feat. Future)'), 108, 236421),"
3,21 Savage,us,169,No Heart,179652,https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO,1URnnhqYAYcrqrcwql10ft,88,1136786,"dwn trap,pop rap,rap,trap music",,,,,"((select id from pais where sigla like 'us'), (select id from musica where nome like 'No Heart'), 169, 179652),"
4,21 Savage,ca,113,X (feat. Future),25926,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO,1URnnhqYAYcrqrcwql10ft,88,1136786,"dwn trap,pop rap,rap,trap music",,,,,"((select id from pais where sigla like 'ca'), (select id from musica where nome like 'X (feat. Future)'), 113, 25926),"
5,257ers,de,195,Holz,33540,https://open.spotify.com/track/7eINNUMHd6YAPldsUlCz9q,6ihLfpY3cmdGyWEnItn30w,65,230614,"deep german hip hop,german hip hop",,,,,"((select id from pais where sigla like 'de'), (select id from musica where nome like 'Holz'), 195, 33540),"
6,257ers,de,170,Holland,36300,https://open.spotify.com/track/6SpE8A5auqnlmVcMQ4ekYK,6ihLfpY3cmdGyWEnItn30w,65,230614,"deep german hip hop,german hip hop",,,,,"((select id from pais where sigla like 'de'), (select id from musica where nome like 'Holland'), 170, 36300),"
7,2 Chainz,ch,186,4 AM,2846,https://open.spotify.com/track/1nX9KhK3Fff27SnrIor2Yb,17lzZA2AlOHwCwFALHttmp,91,1435305,"dwn trap,pop rap,rap,southern hip hop,trap music",,,,,"((select id from pais where sigla like 'ch'), (select id from musica where nome like '4 AM'), 186, 2846),"
8,2 Chainz,us,42,Its A Vibe,441763,https://open.spotify.com/track/6H0AwSQ20mo62jGlPGB8S6,17lzZA2AlOHwCwFALHttmp,91,1435305,"dwn trap,pop rap,rap,southern hip hop,trap music",,,,,"((select id from pais where sigla like 'us'), (select id from musica where nome like 'Its A Vibe'), 42, 441763),"
9,2 Chainz,us,34,4 AM,553507,https://open.spotify.com/track/1nX9KhK3Fff27SnrIor2Yb,17lzZA2AlOHwCwFALHttmp,91,1435305,"dwn trap,pop rap,rap,southern hip hop,trap music",,,,,"((select id from pais where sigla like 'us'), (select id from musica where nome like '4 AM'), 34, 553507),"
10,2 Chainz,ca,60,4 AM,43323,https://open.spotify.com/track/1nX9KhK3Fff27SnrIor2Yb,17lzZA2AlOHwCwFALHttmp,91,1435305,"dwn trap,pop rap,rap,southern hip hop,trap music",,,,,"((select id from pais where sigla like 'ca'), (select id from musica where nome like '4 AM'), 60, 43323),"
11,2 Chainz,nz,89,Its A Vibe,6866,https://open.spotify.com/track/6H0AwSQ20mo62jGlPGB8S6,17lzZA2AlOHwCwFALHttmp,91,1435305,"dwn trap,pop rap,rap,southern hip hop,trap music",,,,,"((select id from pais where sigla like 'nz'), (select id from musica where nome like 'Its A Vibe'), 89, 6866),"
12,2 Chainz,ca,66,Its A Vibe,40267,https://open.spotify.com/track/6H0AwSQ20mo62jGlPGB8S6,17lzZA2AlOHwCwFALHttmp,91,1435305,"dwn trap,pop rap,rap,southern hip hop,trap music",,,,,"((select id from pais where sigla like 'ca'), (select id from musica where nome like 'Its A Vibe'), 66, 40267),"
13,2 Chainz,us,121,Good Drank,216344,https://open.spotify.com/track/39pS70eeDvyCAF3t8NAlVV,17lzZA2AlOHwCwFALHttmp,91,1435305,"dwn trap,pop rap,rap,southern hip hop,trap music",,,,,"((select id from pais where sigla like 'us'), (select id from musica where nome like 'Good Drank'), 121, 216344),"
14,5 After Midnight,gb,83,Up In Here,70266,https://open.spotify.com/track/1xX9Po48ORssfN8MXeBLj9,3x9IfYx4a2FPsxqrTV5FgP,58,7843,,,,,,"((select id from pais where sigla like 'gb'), (select id from musica where nome like 'Up In Here'), 83, 70266),"
15,5 After Midnight,ie,103,Up In Here,4658,https://open.spotify.com/track/1xX9Po48ORssfN8MXeBLj9,3x9IfYx4a2FPsxqrTV5FgP,58,7843,,,,,,"((select id from pais where sigla like 'ie'), (select id from musica where nome like 'Up In Here'), 103, 4658),"
16,6cyclemind,ph,93,Prinsesa,29598,https://open.spotify.com/track/2S80c51YXgJQhkhX603fMA,3nZa8vRD64ueq3d0JNYTsl,58,32274,"neo mellow,opm,pinoy alternative,pop rock",,,,,"((select id from pais where sigla like 'ph'), (select id from musica where nome like 'Prinsesa'), 93, 29598),"
17,6LACK,us,123,PRBLMS,215657,https://open.spotify.com/track/2wf9bp4MkChojtljddWpbO,4IVAbR2w4JJNJDDRFP3E83,79,285174,"dwn trap,hip hop,indie r&b,pop rap,rap,southern hip hop,trap music",,,,,"((select id from pais where sigla like 'us'), (select id from musica where nome like 'PRBLMS'), 123, 215657),"
18,9 Miller,pt,145,Filho da Guida,2265,https://open.spotify.com/track/75AvbbGV21JDfukB6BTGBi,4yqP75Gm0jSMIS1gQ7s6lX,36,1212,,,,,,"((select id from pais where sigla like 'pt'), (select id from musica where nome like 'Filho da Guida'), 145, 2265),"
19,AAA,jp,168,涙のない世界,2169,https://open.spotify.com/track/3glfyV9FhK872pJcAtOjeI,1AyWsgtaIgXbzjJlTx2ZDp,58,37944,"anime,j-idol,j-pop,japanese r&b",,,,,"((select id from pais where sigla like 'jp'), (select id from musica where nome like '涙のない世界'), 168, 2169),"
